site,tier,url,title,author,published_at,description,site_name,language,word_count,text,extracted_at,error
youm7,tier1,https://www.youm7.com/story/2018/10/19/%D9%85%D8%B3%D9%84%D8%B3%D9%84-Orange-Is-the-Black-New-%D9%8A%D9%86%D8%AA%D9%87%D9%89-%D8%A8%D8%B9%D8%AF-%D8%B9%D8%B1%D8%B6-%D8%A7%D9%84%D9%85%D9%88%D8%B3%D9%85/3995314,مسلسل Orange Is the Black New ينتهى بعد عرض الموسم السابع - اليوم السابع,لميس محمد,2018-10-19,"أعلنت شبكة نيتفلكس أن الموسم السابع من مسلسل ""Orange Is the Black New"" هو الأخير من السلسلة",اليوم السابع,ar,117,"أعلنت شبكة نيتفلكس أن الموسم السابع من مسلسل "" Orange Is the Black New "" هو الأخير من السلسلة، وكانت قد جددت نيتفليكس السلسلة التي تم إنتاجها لثلاثة مواسم بعد العرض الأول في الموسم الرابع في عام 2016. المسلسل من بطولة تايلور شيلينج، أوزو أدوبا، كيت مولجرو، لورا بريبون، لافيرن كوكس، داشا بولانكو، دانييل بروكس، سيلينيس ليفا، تارن ماننج، ييل ستون، جاكي كروز، ليا ديلاريا، أدريان سي مور، إليزابيث رودريجيز، مايكل هارني ونيك ساندو. وحظي العرض باستحسان كبير على نطاق واسع خلال فترة عرضه، وحصل على العديد من ترشيحات ""إيمي"" و ""أدوبا"" في عامي 2014 و 2015، ونافس العرض في الفئة الكوميدية قبل حلول 2015 Emmys الذي استلزم التحول إلى فئة الدراما، حسبما نشر موقع "" variety",2026-07-03T09:14:17.863101,
youm7,tier1,https://www.youm7.com/story/2019/6/26/%D8%A7%D9%84%D9%85%D9%84%D8%A7%D9%85%D8%AD-%D8%A7%D9%84%D8%A3%D9%88%D9%84%D9%89-%D9%85%D9%86-%D8%A7%D9%84%D9%85%D9%88%D8%B3%D9%85-%D8%A7%D9%84%D8%AB%D8%A7%D9%85%D9%86-%D9%88%D8%A7%D9%84%D8%A3%D8%AE%D9%8A%D8%B1-%D9%84%D9%80-Orange-Is-the/4306043,الملامح الأولى من الموسم الثامن والأخير ل Orange Is the New Black - اليوم السابع,كتب آسر أحمد,2019-06-26,كشفت الشبكة المنتجة لمسلسل الدراما Orange Is the New Black، عن التريلر الرسمي الأول للموسم الثامن والأخير من المسلسل، والمقر عرضه يوم 26 يوليو القادم.,اليوم السابع,ar,87,كشفت الشبكة المنتجة لمسلسل الدراما Orange Is the New Black ، عن التريلر الرسمي الأول للموسم الثامن والأخير من المسلسل، والمقر عرضه يوم 26 يوليو القادم. وضم التريلر الرسمي الذى عرضته الصفحة الرسمية للمسلسل عبر موقع التواصل الاجتماعى تويتر، العديد من اللقطات الجديدة والمفاجآت التى سيطرحها الموسم الجديد. مسلسل Orange Is the New Black تدور قصته حول بعد إدانته بجريمة عقوبتها نقل أموال المخدرات إلى صديقة سابقة، تم الحكم على بايبر تشابمان المتقيدة بالقانون بسنة ونصف خلف القضبان لمواجهة حقيقة كيف يمكن أن يكون السجن المتغير حقا,2026-07-03T09:14:17.941792,
youm7,tier1,https://www.youm7.com/story/2019/5/15/%D8%A7%D9%86%D8%B7%D9%84%D8%A7%D9%82-%D8%A7%D9%84%D8%AF%D9%88%D8%B1%D8%A9-%D8%A7%D9%84%D8%B3%D8%A7%D8%AF%D8%B3%D8%A9-%D8%B9%D8%B4%D8%B1-%D9%84%D9%83%D8%A3%D8%B3-%D8%A3%D9%88%D8%B1%D9%86%DA%86-%D9%84%D9%84%D8%B4%D8%B1%D9%83%D8%A7%D8%AA-Orange-Business-Cup/4242734,"انطلاق الدورة السادسة عشر لكأس أورنچ للشركات ""Orange Business Cup 2019"" لكرة القدم - اليوم السابع",,2019-05-15,"في أجواء احتفالية رمضانية، انطلقت فعاليات الدورة ال 16 لكأس اورنچ للشركات ""Orange Business Cup 2019"" لكرة القدم بمشاركة 44 فريقاً",اليوم السابع,ar,314,"في أجواء احتفالية رمضانية، انطلقت فعاليات الدورة ال 16 لكأس اورنچ للشركات "" Orange Business Cup 2019 "" لكرة القدم بمشاركة 44 فريقاً وما يقارب من 700 لاعب واداري يمثلون كبرى الشركات المصرية والعالمية من شركاء وعملاء اورنچ مصر من قطاع الشركات. أقيم حفل الافتتاح في نادي وادي دجلة بالتجمع الاول بحضور المهندس ياسر شاكر العضو المنتدب والرئيس التنفيذي لاورنچ مصر وقيادات الشركة ، والسيد طارق راشد رئيس مجلس ادارة نادي وادي دجلة الرياضي وممثلي الشركات المشاركة بالبطولة ، والحكم الدولي إبراهيم نور الدين الذي يرأس لجنة الحكام الخاصة بالبطولة. أقيمت قرعة مباريات الدورة في حفل كبير شارك فيه نجم الكرة المصرية ومنتخب مصر السابق اللاعب الدولي محمد زيدان والرئيس التنفيذي لاورنچ مصر وقيادات الشركة حيث تم تقسيم الفرق المشاركة إلى مجموعات حتى ينجح فريقان في الوصول للمباراة النهائية. وفي بداية الحفل رحب العضو المنتدب والرئيس التنفيذي لاورنچ مصر المهندس ياسر شاكر بالحضور معرباً عن سعادته و فخره بأن تكون اورنچ مصر هي شركة المحمول الوحيدة التي تنظم مثل هذه الدورات لعملائها في قطاع الشركات، الذي وصفهم بأنهم شركاء اورنچ في النجاح. كما أشاد بالشراكة المتميزة بين اورنچ وعملاء الشركات مؤكداً حرص الشركة علي توفير أفضل الخدمات والحلول الادارية المتكاملة التي تساهم في تحقيق زيادة الإنتاجية ومزيداً من النمو والربحية. وأضاف المهندس ياسر شاكر ان دورة كأس اورنچ للشركات هذا العام تتزامن مع فعاليات كأس الامم الافريقية 2019 التي تقام علي أرض مصر وترعاها اورنچ حصرياً وهي البطولة الأهم داخل القارة بل ويتابعها العالم بأكمله والتي ستتيح لاورنچ الاقتراب أكثر من عملائها. كما أعرب شاكر عن تمنياته بالتوفيق للمنتخب المصري في الحصول على كأس بطولة أمم إفريقيا. وبدوره أشاد اللاعب الدولي محمد زيدان بالتنظيم الجيد للدورة وأعرب عن فخره بمشاركة هذا العدد الكبير من اللاعبين الامر الذي يراه في نفس مستوي وإمكانيات الدورات الكبيرة التي تنظمها مختلف الاندية العالمية. أقيم كأس اورنچ هذا العام تحت رعاية كبري الشركات من عملاء اورنچ وهم: نادي وادي دجلة وشركة هواوي، وعامر جروب، وسيف جروب، و موري انترناشونال.",2026-07-03T09:14:17.986705,
youm7,tier1,https://www.youm7.com/story/2025/10/5/%D8%A3%D8%A8%D9%84-%D8%AA%D9%81%D9%83%D8%B1-%D9%81%D9%89-%D8%B7%D8%B1%D8%AD-%D8%AA%D8%B4%D9%83%D9%8A%D9%84%D8%A9-%D8%A8%D8%B1%D8%AA%D9%82%D8%A7%D9%84%D9%8A%D8%A9-%D8%AC%D8%AF%D9%8A%D8%AF%D8%A9-%D8%AA%D8%B4%D9%85%D9%84-iPhone-17/7144691,أبل تفكر فى طرح تشكيلة برتقالية جديدة تشمل iPhone 17 Pro وiMac وAirPods Max - اليوم السابع,كتبت رنا أمين,2025-10-05,كشفت صفحة “Apple Club” المهتمة بأخبار منتجات شركة أبل عن تشكيلة جديدة لمنتجات الشركة باللون البرتقالي اللافت، تحت شعار “Orange is the new Black”، في إشارة إلى اعتماد اللون الحيوي ضمن تصميمات أجهزة أبل القادمة,اليوم السابع,ar,209,"كشفت صفحة “Apple Club” المهتمة بأخبار منتجات شركة أبل عن تشكيلة جديدة لمنتجات الشركة باللون البرتقالي اللافت، تحت شعار “Orange is the new Black”، في إشارة إلى اعتماد اللون الحيوي ضمن تصميمات أجهزة أبل القادمة، والتي شملت iPhone 17 Pro ، وiMac، وHomePod mini، وAirPods Max. الصور المنشورة أظهرت الأجهزة الأربعة بتصميم موحّد من حيث درجة اللون ولمسة التشطيب اللامعة التي تعكس فلسفة في الدمج بين الأناقة والجرأة اللونية، وهو ما يعكس اتجاه الشركة نحو تقديم خيارات أوسع للمستخدمين الراغبين في التميز بالألوان. اللون البرتقالي الجديد يضيف لمسة شبابية إلى أجهزة أبل المعتادة بألوانها الكلاسيكية مثل الفضي والرمادي الداكن, ويبدو أن الشركة تسعى من خلال هذه الخطوة إلى مواكبة الطلب على الأجهزة التي تجمع بين الأداء القوي والطابع الشخصي العصري. يُذكر أن أبل اعتادت تقديم ألوان مميزة في بعض إصداراتها مثل الأزرق والأخضر الفاتح، إلا أن اللون البرتقالي يعد خطوة أكثر جرأة في قائمة ألوانها، مما يثير التوقعات حول ما إذا كانت الشركة ستعتمد هذا اللون بشكل رسمي في إصداراتها القادمة أم يظل مجرد عرض تجريبي ضمن تصاميم “Apple Club”. المنشور الذي لاقى تفاعلاً واسعًا على منصة “إكس” (تويتر سابقًا) حمل سؤالاً للجمهور: “هل ستقتني هذه التشكيلة؟”، وهو ما أثار حماس عشاق أبل الذين عبّروا عن إعجابهم بالمظهر الجديد، مؤكدين أن اللون البرتقالي يمنح الأجهزة طابعًا مميزًا وغير تقليدي.",2026-07-03T09:14:18.014867,
youm7,tier1,https://www.youm7.com/story/2026/4/6/%D8%A7%D9%84%D9%86%D9%8A%D8%A7%D8%A8%D8%A9-%D8%A7%D9%84%D8%B9%D8%A7%D9%85%D8%A9-%D8%AA%D9%8F%D8%B7%D9%84%D9%82-%D8%A7%D9%84%D9%85%D8%B1%D8%AD%D9%84%D8%A9-%D8%A7%D9%84%D8%A3%D9%88%D9%84%D9%89-%D9%84%D9%85%D9%83%D8%A7%D8%AA%D8%A8-%D8%AE%D8%AF%D9%85%D8%A7%D8%AA%D9%87%D8%A7-%D8%A8%D8%A7%D9%84%D8%B4%D8%B1%D8%A7%D9%83%D8%A9-%D9%85%D8%B9-Orange/7368288,النيابة العامة تُطلق المرحلة الأولى لمكاتب خدماتها بالشراكة مع Orange Egypt - اليوم السابع,كتب إبراهيم قاسم – أمنية الموجي,2026-04-06,تنفيذًا لتوجيهات المستشار محمد شوقي النائب العام، وفي إطار التحول الرقمي وتيسير الخدمات المقدمة، أعلنت النيابة العامة بدء تشغيل المرحلة الأولى من المكاتب المميزة لتقديم خدماتها للمواطنين والمحامين..,اليوم السابع,ar,139,أعلنت النيابة العامة بدء تشغيل المرحلة الأولى من المكاتب المميزة لتقديم خدماتها للمواطنين والمحامين خارج مقار النيابات خلال الفترة المسائية من الرابعه الي التاسعة مساء ، وذلك بالتعاون مع شركة Orange Egypt، وذلك تنفيذًا لتوجيهات المستشار محمد شوقى النائب العام، وفي إطار التحول الرقمي وتيسير الخدمات المقدمة من النيابة العامة وتؤكد النيابة العامة أن المشروع يمثل خطوة متقدمة نحو تخفيف التكدس، وتسريع الإجراءات، وتعزيز سهولة الوصول إلى الخدمات بما يحقق رضا المواطنين وتُقدَّم الخدمات من خلال الفروع التالية: محافظة القاهرة: • مدينتي – أوبن إير مول https://maps.app.goo.gl/vs9juS5DYop8p75H6 • المعادي – شارع اللاسلكي https://maps.app.goo.gl/ATomunMnmRukyA8R9 محافظة الجيزة: • المهندسين – بجوار نادي الزمالك https://maps.app.goo.gl/FCfNyhXKzbEdc1PT6 محافظة الإسكندرية: • سان ستيفانو مول – الرمل https://maps.app.goo.gl/X4AhwjPZu5Gut2iz6?g_st=aw • الإبراهيمية – طريق الحرية https://maps.app.goo.gl/Lf239jS2yyth17Wq8 وتشمل الخدمات: • قيد دعاوى الأسرة وإعلامات الوراثة • استخراج الصور والشهادات من قضايا الأسرة • استخراج وثائق الحالة الشخصية والتصديق عليها,2026-07-03T09:14:18.065339,
youm7,tier1,https://www.youm7.com/story/2025/11/13/%D8%A7%D9%84%D9%86%D9%8A%D8%A7%D8%A8%D8%A9-%D8%A7%D9%84%D8%B9%D8%A7%D9%85%D8%A9-%D8%AA%D8%AE%D8%B5%D8%B5-%D8%AC%D8%B2%D8%A1-%D9%85%D9%86-%D8%B1%D8%B3%D9%88%D9%85-%D8%AE%D8%AF%D9%85%D8%A7%D8%AA%D9%87%D8%A7-%D8%A7%D9%84%D8%B1%D9%82%D9%85%D9%8A%D8%A9-%D9%84%D8%B5%D8%A7%D9%84%D8%AD-%D9%85%D8%B3%D8%AA%D8%B4%D9%81%D9%89/7195583,النيابة العامة تخصص جزء من رسوم خدماتها الرقمية لصالح مستشفى سرطان الأطفال - اليوم السابع,كتب إبراهيم قاسم- أمنية الموجى,2025-11-13,أعلنت النيابة العامة أنها خصصت جزء من رسوم تقديم خدماتها الرقمية عبر تطبيق (My Orange)، لدعم مستشفى سرطان الأطفال 57357، تأكيدًا لالتزام النيابة العامة بدورها الإنساني ومسؤوليتها المجتمعية,اليوم السابع,ar,106,أعلنت النيابة العامة أنها خصصت جزء من رسوم تقديم خدماتها الرقمية عبر تطبيق (My Orange)، لدعم مستشفى سرطان الأطفال 57357، تأكيدًا لالتزام النيابة العامة بدورها الإنساني ومسؤوليتها المجتمعية. النيابة العامة تطلق خدماتها الرقمية وأطلقت النيابة العامة تنفيذًا لتوجيهات المستشار محمد شوقى النائب العام ، المرحلة الأولى من خدماتها الرقمية عبر تطبيق (My Orange) بالتعاون مع شركة “أورانج مصر”، لتيسير حصول المواطنين على خدماتها الإلكترونية. يأتي ذلك في إطار رؤيتها نحو تحقيق عدالة رقمية متكاملة وتوسيع قنوات الوصول إلى خدماتها. وتم الاتفاق على تخصيص جزء من رسوم تقديم الخدمات لدعم مستشفى سرطان الأطفال (57357). النيابة العامة تخصص جزء من رسوم تقديم خدماتها الرقمية لصالح مستشفى سرطان الأطفال,2026-07-03T09:14:18.072731,
youm7,tier1,https://www.youm7.com/story/2018/7/17/%D8%B4%D8%A7%D9%87%D8%AF-%D8%AA%D8%B1%D9%8A%D9%84%D8%B1-%D8%A7%D9%84%D8%AC%D8%B2%D8%A1-%D8%A7%D9%84%D8%B3%D8%A7%D8%AF%D8%B3-%D9%85%D9%86-%D9%85%D8%B3%D9%84%D8%B3%D9%84-Orange-Is-the-New/3874952,شاهد.. تريلر الجزء السادس من مسلسل Orange Is the New Black - اليوم السابع,لميس محمد,2018-07-17,طرحت شبكة نيتفلكس تريلر للجزء السادس من مسلسل Orange Is the New Black، المقرر طرحه على الشبكة في الولايات المتحدة يوم 27 يوليو.,اليوم السابع,ar,83,طرحت شبكة نيتفلكس تريلر للجزء السادس من مسلسل Orange Is the New Black ، المقرر طرحه على الشبكة في الولايات المتحدة يوم 27 من الشهر الجارى. المسلسل من بطولة تايلور شيلينج، واوزو ادوبا، ودانييل بروكس، وكيت مولجرو، وسيلينيس ليفا، ونيك ساندو، ومايكل هارني، وتارين مانينج، ومن تأليف جينجي كوهان. المسلسل تدور قصته حول بعد إدانته بجريمة عقوبتها نقل أموال المخدرات إلى صديقة سابقة، تم الحكم على بايبر تشابمان المتقيدة بالقانون بسنة ونصف خلف القضبان لمواجهة حقيقة كيف يمكن أن يكون السجن المتغير حقا.,2026-07-03T09:14:18.100551,
youm7,tier1,https://www.youm7.com/story/2018/11/5/%D8%A3%D9%88%D8%B1%D9%86%DA%86-%D9%85%D8%B5%D8%B1-%D8%AA%D8%B9%D9%84%D9%86-%D8%A3%D8%B3%D9%85%D8%A7%D8%A1-%D8%A7%D9%84%D9%81%D8%A7%D8%A6%D8%B2%D9%8A%D9%86-%D9%81%D9%89-%D8%AA%D8%AD%D8%AF%D9%89-%D9%83%D8%A3%D8%B3-%D8%A3%D9%88%D8%B1%D9%86%DA%86-%D9%84%D9%84%D8%B4%D8%B1%D9%83%D8%A7%D8%AA/4020347,"أورنچ مصر تعلن أسماء الفائزين فى تحدى ""كأس أورنچ للشركات الناشئة 2018 - اليوم السابع",,2018-11-05,أعلنت شركة أورنچ مصر، الرائدة في تقديم خدمات الاتصالات المتكاملة، عن أسماء الفائزين بمسابقة تحدى Orange Startup Cup 2018، وذلك خلال الحفل الختامى.,اليوم السابع,ar,332,"• أورنچ مصر تستثمر 2 مليون جنيه لرعاية وتمويل Orange Startup Cup 2018 أعلنت شركة أورنچ مصر، الرائدة في تقديم خدمات الاتصالات المتكاملة، عن أسماء الفائزين بمسابقة تحدى Orange Startup Cup 2018 ، وذلك خلال الحفل الختامى للمسابقة الذى أقيم بالتعاون مع مؤسسة جريفن وركس يوم الأحد 4 نوفمبر بمقر الشركة بالقرية الذكية، بحضور المهندس ياسر شاكر الرئيس التنفيذي والعضو المنتدب لشركة اورنچ مصر الذي قام بتسليم الجوائز للفرق الفائزة تهدف أورنچ مصر إلى تشجيع نمو ريادة الأعمال وروح المبادرة فى مصر، ونشر الوعى بالموارد المتوفرة لنمو رواد الأعمال حيث تتم مكافأة الشركات المتنافسة في مسابقة Orange Startup Cup 2018 خلال سبعة أشهر من التدريب والتأهيل لتحويل أفكارهم إلى نشاط تجارى قابل للتطبيق. وفى نهاية الحفل الختامي قدمت أورنچ جوائز مالية قيّمة للفرق الفائزة بالمراكز الخمسة الأولى تقدر بحوالي 300 الف جنيه مصري من إجمالي استثمارات اورنچ لمسابقه Orange Startup Cup 2018 والتي تقدر ب 2 مليون جنيه مصرى وانطلقت فعاليات مسابقة الدورة الثانية لتحدي Orange Startup Cup 2018 منذ مارس الماضي، وبلغ عدد مجموع المشاركين 136 شاب وفتاة يمثلون 100 شركة، تم تصفيتها إلى 25 شركة، وهم الذين حصلوا على مجموعة من التدريبات حيث ساهم 41 مدرباً في عملية تدريب وتأهيل المتسابقون لإكسابهم الخبرات اللازمة التي تساعدهم على اقتحام الأسواق والاستمرار داخلها، ثم تم تصفية تلك الشركات مرة أخرى ليصل العدد إلى 12 فريقا فقط، بعد ذلك تم اختيار أفضل 7 فرق ليصلوا إلى المرحلة النهائية. وفور إعلان النتائج النهائية، أشادت لجنة التحكيم بمستوى المشروعات التي شاركت بالتحدي، خاصة وأن الأفكار كانت متنوعة وقادرة على حل مشكلات المجتمع، بجانب قدرتها على الاستمرار داخل سوق العمل وجذب الشباب للعمل بداخلها وبهذه المناسبة قالت هالة عبد الودود مدير قطاع العلاقات العامة والمسئولية المجتمعية بشركة اورنچ مصر "" تحرص اورنچ علي تنظيم ورعاية تلك الفعاليات من أجل دعم طموح هؤلاء الشباب وتحويل أحلامهم إلى حقيقة وأضافت: ""كان لدينا حرص شديد ألا نضع شروطا للمسابقة تحمل أى خلفية معينة أو مستوى تعليمى خاص أو مستوى خبرة محدد، فقط كان الشرط والعيار الرئيسى هو أن يتوافر لدى المتسابقين القدر الكافي من الإصرار والتفاني في إدراك الحلم"".",2026-07-03T09:14:18.131397,
youm7,tier1,https://www.youm7.com/story/2025/11/12/%D8%A7%D9%84%D9%86%D9%8A%D8%A7%D8%A8%D8%A9-%D8%A7%D9%84%D8%B9%D8%A7%D9%85%D8%A9-%D8%AA%D8%B7%D9%84%D9%82-%D8%A7%D9%84%D9%85%D8%B1%D8%AD%D9%84%D8%A9-%D8%A7%D9%84%D8%A3%D9%88%D9%84%D9%89-%D9%85%D9%86-%D8%AE%D8%AF%D9%85%D8%A7%D8%AA%D9%87%D8%A7-%D8%A7%D9%84%D8%B1%D9%82%D9%85%D9%8A%D8%A9-%D8%B9%D8%A8%D8%B1-%D8%AA%D8%B7%D8%A8%D9%8A%D9%82/7195049,"النيابة العامة تطلق المرحلة الأولى من خدماتها الرقمية عبر تطبيق ""My Orange"" - اليوم السابع",كتب إبراهيم قاسم - أمنية الموجى,2025-11-12,أطلقت النيابة العامة اليوم، الموافق الثاني عشر من شهر نوفمبر الجاري، المرحلة الأولى من خدماتها الرقمية للمواطنين عبر تطبيق (My Orange) على الهواتف المحمولة.,اليوم السابع,ar,263,"في إطار توجيهات المستشار محمد شوقى النائب العام نحو تعزيز التحول الرقمي ، وتيسير سبل حصول المواطنين على خدمات النيابة العامة إلكترونيًا، أطلقت النيابة العامة اليوم، الموافق الثاني عشر من شهر نوفمبر الجاري، المرحلة الأولى من خدماتها الرقمية للمواطنين عبر تطبيق (My Orange) على الهواتف المحمولة، وذلك بالتعاون مع شركة ""أورانج مصر""، في احتفال رسمي أُقيم بمقر مكتب النائب العام، بحضور قيادات النيابة العامة ومسؤولي الشركة. يأتي ذلك استمرارًا لنهج النيابة العامة في تنفيذ رؤيتها الإستراتيجية نحو تحقيق عدالة رقمية متكاملة وخدمات أقرب إلى المواطنين، من خلال توسيع قنوات الوصول إلى خدماتها عبر المنصات الحكومية والخاصة، بما يضمن سرعة الإنجاز وسهولة الاستخدام. خدمة النيابة العامة الالكترونية ويمكن للمواطنين من خلال تطبيق (My Orange) الاستفادة من مجموعة من الخدمات الرقمية التي تقدمها النيابة العامة، ومنها: • الاستعلام عن حالة القضايا (الجنائية – الأسرة). • الحصول على صور رسمية من القضايا والأحكام الجنائية وقضايا الأسرة. • الحصول على صور رسمية من محاضر الجلسات في القضايا الجنائية والأحوال الشخصية. • استخراج الشهادات الرسمية الخاصة بالقضايا الجنائية وقضايا الأسرة. • سداد الغرامات المرورية إلكترونيًا، والتظلم منها، واستلام شهادات براءة الذمة. • متابعة الطلبات المقدمة إلى النيابة العامة. وتؤكد النيابة العامة أن إطلاق هذه الخدمات عبر تطبيق “My Orange” يعد خطوة جديدة ضمن منظومة التحول الرقمي للنيابة العامة، ويأتي في إطار تحقيق التكامل بين مؤسسات الدولة ومقدمي الخدمات الإلكترونية، وتفعيل الشراكة مع القطاع الخاص، وتحقيق رؤية مصر 2030. النيابة العامة تطلق المرحلة الأولى من خدماتها الرقمية النيابة العامة تطلق المرحلة الأولى من خدماتها الرقمية النيابة العامة تطلق المرحلة الأولى من خدماتها الرقمية النيابة العامة تطلق المرحلة الأولى من خدماتها الرقمية النيابة العامة تطلق المرحلة الأولى من خدماتها الرقمية",2026-07-03T09:14:18.172698,
youm7,tier1,https://www.youm7.com/story/2024/12/5/%D8%A7%D9%88%D8%B1%D9%86%DA%86-%D9%85%D8%B5%D8%B1-%D8%AA%D8%B7%D9%84%D9%82-%D8%AE%D8%AF%D9%85%D8%A9-%D8%A7%D9%84%D8%B4%D8%B1%D8%A7%D8%A6%D8%AD-%D8%A7%D9%84%D8%A5%D9%84%D9%83%D8%AA%D8%B1%D9%88%D9%86%D9%8A%D8%A9eSIM-%D9%81%D9%8A-%D8%A7%D9%84%D9%81%D8%B1%D9%88%D8%B9-%D9%88%D8%B9%D8%A8%D8%B1-%D8%AA%D8%B7%D8%A8%D9%8A%D9%82/6800795,اورنچ مصر تطلق خدمة الشرائح الإلكترونيةeSIM في الفروع وعبر تطبيق My Orange - اليوم السابع,كتبت هبة السيد,2024-12-05,أعلنت اورنچ مصر عن إطلاق خدمة الشرائح الإلكترونية المدمجة eSIM رسميا في مصر من خلال تطبيق My Orange أو عبر فروعها المنتشرة في جميع أنحاء مصر,اليوم السابع,ar,360,"أعلنت اورنچ مصر عن إطلاق خدمة الشرائح الإلكترونية المدمجة eSIM رسميا في مصر من خلال تطبيق My Orange أو عبر فروعها المنتشرة في جميع أنحاء مصر وذلك بعد حصولها على موافقة الجهاز القومي لتنظيم الاتصالات، في إطار حرصها على تيسير حصول المواطنين على أحدث خدمات التكنولوجيا والاتصالات بأسرع الطرق وأسهلها وتعتمد خدمة eSIM على شريحة ""إلكترونية"" مدمجة في الهواتف الذكية، وليست مثل الشريحة التقليدية التي يتم إدخالها يدويًا في الجهاز، ووفقا لإمكانات الهاتف يمكن للعميل تفعيل 10 خطوط بحد أقصى على أن يتم العمل بخطين فقط في وقت واحد يمكن للعملاء الحاليين التحويل من الشريحة التقليدية الي ال eSIM بسهولة في أي وقت ومن أي مكان عبر تطبيق My Orange بعد الحصول على رمز الاستجابة السريعة (QR Code) الخاص بالخدمة، وذلك بعد التأكد من أن هواتفهم المحمولة تدعم الخدمة، وهو أمر يمكن التحقق منه بسهولة عبر التطبيق، وايضا يمكنهم زيارة أحد فروع الشركة للتحويل الي ال eSIM. أما العملاء الجدد، فيتوجب عليهم زيارة أحد الفروع للتعاقد واستخدام الخدمة الجديدة، وفقًا لتعليمات الجهاز القومي لتنظيم الاتصالات ويتميز تطبيق My Orange باحتوائه على شرح سلس ومبسط للخدمة وطريقة التحويل إليها، فضلا عن كونه مجهز لاستكمال إجراءات التأكد من بيانات العميل عن طريق تصوير البطاقة الشخصية وإدخال اسم الجد من ناحية الأم للتأكد من صحة البيانات ويأتي حرص اورنچ على أن تكون من أوائل الشركات التي تقدم خدمة الشريحة الإلكترونية المدمجة eSIM في السوق المصرية، في إطار جهودها الأوسع لخفض بصمتها الكربونية وخفض انبعاثاتها الكربونية، حيث إن الخدمة صديقة للبيئة وتساهم في خفض استخدام البلاستيك، وتقليل النفايات الناتجة عن تضرر أو تلف الشرائح التقليدية، فضلا عن كونها آمنة تماما وقد صرح أحمد العبد، نائب الرئيس التنفيذي للقطاع التجاري في اورنچ مصر، إن إطلاق خدمة eSIM الجديدة يعكس رؤية الشركة في مواكبة التطورات التكنولوجية وتعزيز التحول الرقمي في مصر والتزامها بتقديم كل ما هو أفضل لعملائها حيث يمكن لعملاء اورنچ الحاليين التحويل من الشريحة التقليدية الي ال eSIM بسهولة في أي وقت ومن أي مكان عبر تطبيق My Orange. كما أشار إلى أهمية خدمة ال eSIM والتي ستفتح الباب لاستخدام تقنيات أكثر تطوراً، كما ستمنح المستخدمين تجربة أفضل وأكثر مرونة ومزايا إضافية في الأجهزة والاتصال حيث ستتيح لهم امكانية الحصول على أرقام متعددة على تليفون محمول واحد مع امكانيه تشغيل خطين في نفس الوقت",2026-07-03T09:14:18.204664,
